College,City,State,Number of registered students,Unnamed: 4,Latitude,Longtitude,Longtitude2
Central Piedmont Community College,Matthews,North Carolina,3,,35.106532,-80.696106,-80.693916
Central Texas College,Killeen,Texas,3,,35.0699148,-78.9539764,-78.9517864
City College Of San Francisco,San Francisco,California,3,,37.7255655,-122.4533298,-122.4511398
Colorado State University-Fort Collins,Fort Collins,Colorado,3,,40.573436,-105.0887413,-105.0865513
Delaware Technical Community College-Terry,Dover,Delaware,3,,39.1981614,-75.5645153,-75.5623253
Gadsden State Community College,Gadsden,Alabama,3,,33.9955117,-85.9937642,-85.9915742
George Washington University,Washington,District of Columbia,3,,38.8997145,-77.0507932,-77.0486032
Georgia Gwinnett College,Lawrenceville,Georgia,3,,33.9799796,-84.0066349,-84.0044449
Grand Canyon University,Phoenix,Arizona,3,,33.5104954,-112.1321242,-112.12993420000001
Harvey Mudd College,Claremont,California,3,,34.1057394,-117.7117481,-117.7095581
High Point University,High Point,North Carolina,3,,35.9721829,-79.997364,-79.995174
Indiana University-Bloomington,Bloomington,Indiana,3,,39.1754487,-86.514821,-86.512631
Kapiolani Community College,Honolulu,Hawaii,3,,21.2709554,-157.8016128,-157.79942279999997
Keiser University-Ft Lauderdale,Fort Lauderdale,Florida,3,,26.1859628,-80.165974,-80.163784
Lamar University,Beaumont,Texas,3,,30.0399053,-94.0777688,-94.0755788
Lewis University,Romeoville,Illinois,3,,41.6050295,-88.0827548,-88.0805648
Macomb Community College,Warren,Michigan,3,,42.5051879,-82.9751822,-82.97299220000001
Montgomery College,Germantown,Maryland,3,,38.7914717,-79.5172306,-79.5150406
Montgomery County Community College,Blue Bell,Pennsylvania,3,,40.1765166,-75.278955,-75.276765
National University,San Diego,California,3,,1.9783615,105.2371054,105.2392954
Northeastern State University,Tahlequah,Oklahoma,3,,35.9209678,-94.965902,-94.963712
Northwest Vista College,San Antonio,Texas,3,,29.4716439,-98.705443,-98.703253
Pasadena City College,Pasadena,California,3,,34.1439951,-118.1181987,-118.1160087
Rutgers University-New Brunswick,New Brunswick,New Jersey,3,,40.5008186,-74.4473991,-74.4452091
San Diego State University,San Diego,California,3,,32.7759894,-117.0712533,-117.0690633
San Joaquin Delta College,Stockton,California,3,,37.9953671,-121.3195528,-121.3173628
San Jose State University,San Jose,California,3,,37.3351874,-121.8810715,-121.8788815
The University Of Alabama,Tuscaloosa,Alabama,3,,33.2140233,-87.5391418,-87.5369518
United States Naval Academy,Annapolis,Maryland,3,,38.9820658,-76.4839405,-76.4817505
University Of Arizona,Tucson,Arizona,3,,32.2318851,-110.9501094,-110.9479194
University Of California-Berkeley,Berkeley,California,3,,37.8718992,-122.2585399,-122.2563499
University Of Central Florida,Orlando,Florida,3,,28.6024274,-81.2000599,-81.1978699
University Of Iowa,Iowa City,Iowa,3,,41.6626963,-91.5548998,-91.5527098
University Of Louisville,Louisville,Kentucky,3,,38.2122761,-85.7585023,-85.7563123
University Of North Carolina At Pembroke,Pembroke,North Carolina,3,,34.6899339,-79.2005823,-79.1983923
University Of Southern California,Los Angeles,California,3,,34.0223519,-118.285117,-118.282927
A T Still University Of Health Sciences,Kirksville,Missouri,2,,40.1935599,-92.5889708,-92.5867808
Athens State University,Athens,Alabama,2,,34.8057395,-86.9665343,-86.96434430000001
Baker College,Flint,Michigan,2,,43.0001253,-85.2298079,-85.2276179
Ball State University,Muncie,Indiana,2,,40.2049604,-85.4062846,-85.40409460000001
Broward College,Weston,Florida,2,,26.0681177,-80.3943067,-80.3921167
California State University-Channel Islands,Camarillo,California,2,,34.1620556,-119.043463,-119.041273
California State University-Long Beach,Long Beach,California,2,,33.7838235,-118.1140904,-118.1119004
Carnegie Mellon University,Pittsburgh,Pennsylvania,2,,40.4427314,-79.9429552,-79.9407652
Carson-Newman University,Jefferson City,Tennessee,2,,36.122362,-83.490358,-83.488168
Central Michigan University,Mount Pleasant,Michigan,2,,43.5819086,-84.7756364,-84.7734464
Christopher Newport University,Newport News,Virginia,2,,37.0627072,-76.4928349,-76.4906449
College Of The Desert,Palm Desert,California,2,,33.7330326,-116.3864666,-116.3842766
Colorado Northwestern Community College,Rangely,Colorado,2,,40.3040545,-108.163354,-108.161164
Colorado State University-Global Campus,Aurora,Colorado,2,,39.7251537,-104.786609,-104.784419
Columbia Southern University,Orange Beach,Alabama,2,,30.3292553,-87.6530263,-87.6508363
Community College Of Allegheny County,Pittsburgh,Pennsylvania,2,,40.4517646,-79.8856212,-79.8834312
Cuny Hunter College,New York,New York,2,,40.7678398,-73.9645291,-73.9623391
Duke University,Durham,North Carolina,2,,36.0021884,-78.9379535,-78.93576350000001
Eastern Michigan University,Ypsilanti,Michigan,2,,42.2506803,-83.624089,-83.621899
Ecpi University,Virginia Beach,Virginia,2,,33.791725,-87.3671794,-87.3649894
Georgia State University,Atlanta,Georgia,2,,33.753068,-84.3852819,-84.3830919
Howard University,Washington,District of Columbia,2,,38.9226843,-77.0194377,-77.0172477
Idaho State University,Pocatello,Idaho,2,,42.8627836,-112.429762,-112.427572
J Sargeant Reynolds Community College,Richmond,Virginia,2,,37.6375208,-77.4730666,-77.4708766
Kean University,Union,New Jersey,2,,40.6787923,-74.232353,-74.230163
Kirkwood Community College,Cedar Rapids,Iowa,2,,41.9109667,-91.6521601,-91.6499701
Lone Star College System,Houston,Texas,2,,30.0279015,-95.4776831,-95.4754931
Lord Fairfax Community College,Warrenton,Virginia,2,,38.8544225,-78.1222498,-78.1200598
Mclennan Community College,Waco,Texas,2,,31.5889679,-97.1726265,-97.17043650000001
Midwestern State University,Wichita Falls,Texas,2,,33.8713557,-98.5215656,-98.5193756
Montreat College,Montreat,North Carolina,2,,35.6464927,-82.2975138,-82.2953238
North Carolina A & T State University,Greensboro,North Carolina,2,,36.0745588,-79.773152,-79.770962
North Carolina State University At Raleigh,Raleigh,North Carolina,2,,35.7846633,-78.6820946,-78.6799046
Pennsylvania State University-Main Campus,State College,Pennsylvania,2,,40.8024835,-77.859089,-77.856899
Prince George'S Community College,Largo,Maryland,2,,38.8870718,-76.8269617,-76.8247717
Purdue University Northwest,Hammond,Indiana,2,,41.5808528,-87.4735602,-87.4713702
Rabbinical College Of America,Morristown,New Jersey,2,,40.8059143,-74.4987309,-74.4965409
Radford University,Radford,Virginia,2,,37.1395334,-80.5511003,-80.5489103
Shenandoah University,Winchester,Virginia,2,,39.1660159,-78.1583388,-78.1561488
Southern Methodist University,Dallas,Texas,2,,32.8412178,-96.7845175,-96.78232750000001
The University Of Texas At Austin,Austin,Texas,2,,31.5470079,-97.2709267,-97.2687367
The University Of Virginia'S College At Wise,Wise,Virginia,2,,36.970591,-82.560716,-82.558526
Towson University,Towson,Maryland,2,,39.3925121,-76.6126392,-76.6104492
Trinity College,Hartford,Connecticut,2,,40.7692895,-45.227962,-45.225772
University Of Advancing Technology,Tempe,Arizona,2,,33.377917,-111.9760201,-111.9738301
University Of California-Los Angeles,Los Angeles,California,2,,34.068921,-118.4451811,-118.4429911
University Of California-Merced,Merced,California,2,,37.3660652,-120.4224179,-120.4202279
University Of Colorado Colorado Springs,Colorado Springs,Colorado,2,,38.8962961,-104.8061551,-104.8039651
University Of Georgia,Athens,Georgia,2,,33.9480053,-83.3773221,-83.3751321
University Of Hawaii At Manoa,Honolulu,Hawaii,2,,21.296939,-157.8171118,-157.81492179999998
University Of Houston-Victoria,Victoria,Texas,2,,28.8166264,-96.9784322,-96.9762422
University Of Memphis,Memphis,Tennessee,2,,35.1187498,-89.9374928,-89.9353028
University Of Minnesota-Twin Cities,Minneapolis,Minnesota,2,,44.97399,-93.2277285,-93.2255385
University Of Nevada-Las Vegas,Las Vegas,Nevada,2,,36.1085197,-115.1431709,-115.1409809
University Of New Haven,West Haven,Connecticut,2,,41.2907061,-72.9615183,-72.9593283
University Of Phoenix-Arizona,Phoenix,Arizona,2,,33.4323093,-112.0391515,-112.0369615
University Of South Alabama,Mobile,Alabama,2,,30.6959406,-88.184236,-88.182046
University Of The People,Pasadena,California,2,,34.1462045,-118.1380151,-118.1358251
Utah Valley University,Orem,Utah,2,,40.2787626,-111.7153739,-111.7131839
Valparaiso University,Valparaiso,Indiana,2,,41.4639394,-87.0438893,-87.0416993
Wake Technical Community College,Raleigh,North Carolina,2,,35.6515968,-78.7047179,-78.7025279
West Virginia University At Parkersburg,Parkersburg,West Virginia,2,,39.2165732,-81.5069939,-81.5048039
William Paterson University Of New Jersey,Wayne,New Jersey,2,,40.9477325,-74.1973109,-74.1951209
Abdill Career College Inc,Medford,Oregon,1,,42.3265474,-122.8685265,-122.8663365
Abraham Baldwin Agricultural College,Tifton,Georgia,1,,31.483076,-83.5301943,-83.5280043
Ace Institute Of Technology,New York,New York,1,,40.7496973,-73.9418612,-73.9396712
Aims Community College,Greeley,Colorado,1,,40.409654,-104.7623827,-104.7601927
Alabama A & M University,Huntsville,Alabama,1,,34.7827196,-86.568614,-86.566424
Albertus Magnus College,New Haven,Connecticut,1,,41.3316093,-72.9226957,-72.9205057
Alpena Community College,Alpena,Michigan,1,,45.0812661,-83.4446279,-83.4424379
Amarillo College,Amarillo,Texas,1,,35.1875036,-101.8482868,-101.8460968
Angelo State University,San Angelo,Texas,1,,31.4382686,-100.4602762,-100.4580862
Arapahoe Community College,Littleton,Colorado,1,,39.6080683,-105.0188452,-105.0166552
Arcadia University,Glenside,Pennsylvania,1,,40.0920362,-75.1659431,-75.16375310000001
Arizona State University-Polytechnic,Mesa,Arizona,1,,33.3060092,-111.6785238,-111.6763338
Arizona State University-West,Glendale,Arizona,1,,33.6075305,-112.1594168,-112.1572268
Arkansas State University-Main Campus,Jonesboro,Arkansas,1,,35.8430861,-90.6748589,-90.6726689
Atlanta Technical College,Atlanta,Georgia,1,,33.7120288,-84.4042954,-84.4021054
Auburn University,Auburn,Alabama,1,,32.5933574,-85.4951663,-85.4929763
Augusta Technical College,Augusta,Georgia,1,,33.417748,-82.0510186,-82.04882860000001
Austin Community College District,Austin,Texas,1,,30.2773795,-97.7485031,-97.7463131
Bellevue University,Bellevue,Nebraska,1,,41.150572,-95.918158,-95.915968
Beth Medrash Govoha,Lakewood Township,New Jersey,1,,40.0956316,-74.222056,-74.219866
Bevill State Community College,Jasper,Alabama,1,,33.836824,-87.266029,-87.263839
Bloomsburg University Of Pennsylvania,Bloomsburg,Pennsylvania,1,,41.0081119,-76.4472749,-76.4450849
Boston University,Boston,Massachusetts,1,,42.3504997,-71.1053991,-71.1032091
Brandeis University,Waltham,Massachusetts,1,,42.3656827,-71.2585395,-71.2563495
Brandman University,Irvine,California,1,,33.6565009,-117.7695803,-117.7673903
Bristol Community College,Fall River,Massachusetts,1,,41.7218773,-71.1194292,-71.1172392
Brookdale Community College,Middletown,New Jersey,1,,40.326356,-74.131132,-74.128942
Brown University,Providence,Rhode Island,1,,41.8267718,-71.4025482,-71.4003582
Bryant University,Smithfield,Rhode Island,1,,41.9214717,-71.5376476,-71.5354576
Bunker Hill Community College,Boston,Massachusetts,1,,42.3749673,-71.0695871,-71.06739710000001
California State University-Dominguez Hills,Carson,California,1,,33.8624581,-118.2544107,-118.2522207
California State University-East Bay,Hayward,California,1,,37.6571459,-122.0574872,-122.0552972
California State University-Los Angeles,Los Angeles,California,1,,34.0667698,-118.1684392,-118.1662492
California State University-Northridge,Los Angeles,California,1,,34.2410366,-118.5276745,-118.5254845
Campbell University,Buies Creek,North Carolina,1,,35.4083451,-78.7394405,-78.7372505
Carleton College,Northfield,Minnesota,1,,44.4613633,-93.1559742,-93.1537842
Case Western Reserve University,Cleveland,Ohio,1,,41.5043413,-81.6083838,-81.6061938
Casper College,Casper,Wyoming,1,,42.8319541,-106.3249953,-106.3228053
Central Washington University,Ellensburg,Washington,1,,47.0073154,-120.5362805,-120.5340905
Coastline Community College,Fountain Valley,California,1,,33.7025855,-117.9505047,-117.9483147
Colby College,Waterville,Maine,1,,44.5638691,-69.6626362,-69.6604462
College Of Charleston,Charleston,South Carolina,1,,32.7834441,-79.9370018,-79.9348118
College Of Dupage,Glen Ellyn,Illinois,1,,41.8411961,-88.0729753,-88.0707853
College Of San Mateo,San Mateo,California,1,,37.5356691,-122.3350145,-122.3328245
College Of Southern Maryland,La Plata,Maryland,1,,38.559479,-77.008945,-77.006755
College Of Western Idaho,Nampa,Idaho,1,,43.6140899,-116.5072495,-116.5050595
College Of William And Mary,Williamsburg,Virginia,1,,37.270975,-76.7162468,-76.7140568
Collin County Community College District,McKinney,Texas,1,,33.2181719,-96.6418315,-96.6396415
Colorado Mesa University,Grand Junction,Colorado,1,,39.0808594,-108.5543371,-108.5521471
Colorado Technical University-Colorado Springs,Colorado Springs,Colorado,1,,38.8941309,-104.8343351,-104.8321451
Columbus State University,Columbus,Georgia,1,,32.5026472,-84.9404306,-84.9382406
Cornell College,Mount Vernon,Iowa,1,,41.9269546,-91.4253502,-91.4231602
Crafton Hills College,Yucaipa,California,1,,34.038649,-117.100396,-117.098206
Cuny Bernard M Baruch College,New York,New York,1,,40.7403959,-73.9832252,-73.98103520000001
Cuny John Jay College Of Criminal Justice,New York,New York,1,,40.7707237,-73.9892342,-73.9870442
Cuny Lehman College,,New York,1,,40.8713962,-73.8963454,-73.8941554
Cuny New York City College Of Technology,,New York,1,,40.695387,-73.9878876,-73.9856976
Cypress College,Cypress,California,1,,33.8281347,-118.0249841,-118.0227941
Devry University-Georgia,Decatur,Georgia,1,,33.77509,-84.2973348,-84.2951448
Durham Technical Community College,Durham,North Carolina,1,,35.9733357,-78.881712,-78.879522
East Los Angeles College,Monterey Park,California,1,,34.0413848,-118.1502645,-118.1480745
Eastern Connecticut State University,Windham,Connecticut,1,,41.720017,-72.215698,-72.213508
Eastern Gateway Community College,Steubenville,Ohio,1,,40.7375677,-80.660375,-80.658185
Eastern Iowa Community College District,Davenport,Iowa,1,,41.522137,-90.574479,-90.572289
Eastern Kentucky University,Richmond,Kentucky,1,,37.7353214,-84.298672,-84.296482
Eastwick College-Nutley,Nutley,New Jersey,1,,40.810769,-74.144261,-74.142071
Enterprise State Community College,Enterprise,Alabama,1,,31.2983627,-85.8364229,-85.8342329
Evergreen Valley College,San Jose,California,1,,37.3011274,-121.7650792,-121.7628892
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,New Jersey,1,,40.8980267,-74.0306732,-74.0284832
Fairmont State University,Fairmont,West Virginia,1,,39.4857867,-80.1630335,-80.1608435
Florida Technical College,Miami,Florida,1,,28.0219272,-83.4650042,-83.4628142
Foothill College,Los Altos Hills,California,1,,37.3614051,-122.1277574,-122.1255674
Frederick Community College,Frederick,Maryland,1,,39.451256,-77.4179818,-77.41579180000001
Gateway Community College,New Haven,Connecticut,1,,40.1326909,-78.7801269,-78.7779369
Georgetown University,Washington,District of Columbia,1,,38.9076089,-77.0722585,-77.0700685
Georgia College & State University,Milledgeville,Georgia,1,,33.0804485,-83.2319298,-83.2297398
Georgia Highlands College,Rome,Georgia,1,,34.1697568,-85.2074433,-85.2052533
Germanna Community College,Fredericksburg,Virginia,1,,38.2322677,-77.4935883,-77.4913983
Glendale Community College,Glendale,Arizona,1,,33.8680064,-115.209373,-115.207183
Glendale Community College,Glendale,California,1,,34.1511279,-118.2344419,-118.2322519
Golden Gate University-San Francisco,San Francisco,California,1,,37.789292,-122.398982,-122.396792
Grand Rapids Community College,Grand Rapids,Michigan,1,,42.9668968,-85.6667224,-85.6645324
Green River College,Auburn,Washington,1,,47.3130847,-122.1798216,-122.1776316
Hardin-Simmons University,Abilene,Texas,1,,32.4768502,-99.7340564,-99.7318664
Harding University,Searcy,Arkansas,1,,35.245152,-91.7235465,-91.7213565
Harrisburg Area Community College,Harrisburg,Pennsylvania,1,,40.2943397,-76.8844961,-76.88230610000001
Honolulu Community College,Honolulu,Hawaii,1,,21.320666,-157.8697388,-157.86754879999998
Humboldt State University,Arcata,California,1,,40.8747332,-124.0789268,-124.0767368
Immaculata University,,Pennsylvania,1,,40.027988,-75.5706994,-75.5685094
James Madison University,Harrisonburg,Virginia,1,,38.435092,-78.8697548,-78.8675648
John Brown University,Siloam Springs,Arkansas,1,,36.1905358,-94.559179,-94.556989
Kaplan University-Mason City Campus,Mason City,Iowa,1,,43.1496558,-93.2389794,-93.2367894
Kettering University,Flint,Michigan,1,,43.0120017,-83.7128817,-83.7106917
La Roche College,Pittsburgh,Pennsylvania,1,,40.5684406,-80.0143294,-80.0121394
Lane Community College,Eugene,Oregon,1,,44.0088358,-123.0365018,-123.0343118
Liu Post,Greenvale,New York,1,,40.8172349,-73.5900738,-73.5878838
Long Beach City College,Long Beach,California,1,,33.8316052,-118.1354535,-118.1332635
Los Angeles Mission College,Los Angeles,California,1,,34.3151336,-118.4192444,-118.4170544
Louisiana State University And Agricultural & Mechanical College,Baton Rouge,Louisiana,1,,30.4132579,-91.1800023,-91.1778123
Marshall University,Huntington,West Virginia,1,,38.4235252,-82.4264145,-82.42422450000001
Mayland Community College,Spruce Pine,North Carolina,1,,35.9340795,-82.0165918,-82.0144018
Miami University-Oxford,Oxford,Ohio,1,,39.5105334,-84.7308768,-84.7286868
Michigan Technological University,Houghton,Michigan,1,,47.1167748,-88.5460218,-88.5438318
Middlesex County College,Edison,New Jersey,1,,40.4994115,-74.4071571,-74.40496710000001
Miracosta College,Oceanside,California,1,,33.1595302,-117.3207192,-117.3185292
Monterey Peninsula College,Monterey,California,1,,36.5898671,-121.8841746,-121.8819846
Mount Saint Mary'S University,Los Angeles,California,1,,39.6799914,-77.3486971,-77.3465071
Mt San Antonio College,Walnut,California,1,,34.0482035,-117.845125,-117.842935
Naugatuck Valley Community College,Waterbury,Connecticut,1,,41.5498286,-73.0729008,-73.0707108
North Dakota State University-Main Campus,Fargo,North Dakota,1,,46.8977528,-96.8024367,-96.8002467
Northampton County Area Community College,Bethlehem,Pennsylvania,1,,40.6730296,-75.3227965,-75.3206065
Northeastern University,Boston,Massachusetts,1,,42.3384764,-71.0893955,-71.0872055
Northern Illinois University,DeKalb,Illinois,1,,41.934233,-88.774069,-88.771879
Olympic College,Bremerton,Washington,1,,47.575258,-122.6352126,-122.6330226
Oral Roberts University,Tulsa,Oklahoma,1,,36.0507991,-95.9536715,-95.9514815
Oregon State University,Corvallis,Oregon,1,,44.5637806,-123.2794443,-123.2772543
Pace University-New York,New York,New York,1,,40.7110772,-74.004811,-74.002621
Palomar College,San Marcos,California,1,,33.1504224,-117.1826734,-117.1804834
Paris Junior College,Paris,Texas,1,,33.3779756,-95.8283374,-95.8261474
Park University,Parkville,Missouri,1,,39.191576,-94.6755573,-94.6733673
Paul D Camp Community College,Franklin,Virginia,1,,36.6745007,-76.9375837,-76.9353937
Pima Community College,Tucson,Arizona,1,,32.2320066,-110.9219283,-110.9197383
Pitt Community College,Winterville,North Carolina,1,,35.5484627,-77.4064334,-77.4042434
Post University,Waterbury,Connecticut,1,,41.5353423,-73.0815739,-73.0793839
Purdue University-Calumet Campus,Hammond,Indiana,1,,41.5808528,-87.4735602,-87.4713702
Purdue University-Main Campus,West Lafayette,Indiana,1,,40.4237054,-86.9211946,-86.91900460000001
Rider University,Lawrence Township,New Jersey,1,,40.2788009,-74.7379884,-74.73579840000001
Riverside City College,Riverside,California,1,,33.97677,-117.3798277,-117.37763770000001
Roosevelt University,Chicago,Illinois,1,,41.8763427,-87.6251169,-87.6229269
Rosedale Bible College,Irwin,Ohio,1,,40.0776546,-83.4578795,-83.4556895
Saint Francis University,Loretto,Pennsylvania,1,,40.50382,-78.6376191,-78.6354291
Saint Leo University,Saint Leo,Florida,1,,28.3362975,-82.2572391,-82.25504910000001
Salve Regina University,Newport,Rhode Island,1,,41.4714594,-71.3006368,-71.29844680000001
Sam Houston State University,Huntsville,Texas,1,,30.7129974,-95.5472905,-95.5451005
San Antonio College,San Antonio,Texas,1,,29.4457849,-98.4959969,-98.4938069
San Francisco State University,San Francisco,California,1,,37.7241492,-122.4799405,-122.4777505
San Jose City College,San Jose,California,1,,37.3146947,-121.9271722,-121.9249822
Santa Ana College,Santa Ana,California,1,,33.7579713,-117.888884,-117.886694
Santa Clara University,Santa Clara,California,1,,37.3496418,-121.9389875,-121.9367975
Santa Monica College,Santa Monica,California,1,,34.0165568,-118.4703948,-118.4682048
Sheridan College,Sheridan,Wyoming,1,,44.1161419,-93.29548,-93.29329
South Texas College,McAllen,Texas,1,,26.2169719,-98.253595,-98.251405
Southeast Missouri State University,Cape Girardeau,Missouri,1,,37.3148783,-89.5280438,-89.52585380000001
Southern Maine Community College,South Portland,Maine,1,,43.6469528,-70.2290826,-70.2268926
Southwestern College,Chula Vista,California,1,,34.945103,-106.9870161,-106.9848261
St Philip'S College,San Antonio,Texas,1,,29.4140246,-98.4548113,-98.4526213
Strayer University-Georgia,Atlanta,Georgia,1,,33.8742213,-84.2755766,-84.2733866
Strayer University-North Carolina,Morrisville,North Carolina,1,,35.59536,-79.7560519,-79.7538619
Swarthmore College,Swarthmore,Pennsylvania,1,,39.9053418,-75.3536225,-75.3514325
Syracuse University,Syracuse,New York,1,,43.0391534,-76.1351158,-76.1329258
Talladega College,Talladega,Alabama,1,,33.4327519,-86.1135613,-86.1113713
Tarrant County College District,Fort Worth,Texas,1,,32.7474661,-97.3278753,-97.3256853
Tennessee Technological University,Cookeville,Tennessee,1,,36.1757592,-85.5086374,-85.5064474
Texas Lutheran University,Seguin,Texas,1,,29.5731949,-97.9847891,-97.9825991
Texas State Technical College,Red Oak,Texas,1,,29.4885633,-97.412413,-97.410223
